manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,product__arm_height,product__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__designer_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,product_styles
D2612B,074-811907462-7,5.50,20.00,20.00,35.00,True,202.50,270.00,False,Indoor Lighting,Dimond Lighting,(Blue) Cubist Ceramic Bottle Table Lamp,,,,,,,,,,1,CHN,O-100000,,,,,No,A21 3-Way,,,,,False,,Blue,,False,False,,,Ceramic,1,,False,,,,,White Linen Hardback Shade,,3-Way,True,,150,,,6.70,20.00,31.00,20.00,,,,,,,,,Transitional
D2611NB,074-811907461-0,3.00,18.00,18.00,36.00,True,183.00,244.00,False,Indoor Lighting,Dimond Lighting,(Blue) Modern Ceramic Vase Table Lamp,"Fashion icon Coco Chanel famously said: elegance is refusal. She would have loved our Modern Vase Table Lamp: Smooth, softly contoured ceramic silhouette. Rich, yet soothing Smoke Blue palette. Fashionable Antique Brass appointments. Quality textured linen shade. Refuses everything; Holds nothing back.",,,,,,,,,1,CHN,O-100001,,,,,No,A21 3-Way,,66,,,False,,"Antique Brass, Navy Blue",,False,False,,,"Ceramic, Metal",1,,False,,,,,White Textured Linen Hardback Shade,,3-Way,True,,150,,,11.00,20.00,32.00,19.00,,,,,,,,,Traditional
D2611C,074-811907460-3,4.00,18.00,18.00,36.00,True,183.00,244.00,False,Indoor Lighting,Dimond Lighting,(Cream) Modern Ceramic Vase Table Lamp,"Fashion icon Coco Chanel famously said: elegance is refusal. She would have loved our Modern Vase Table Lamp: Smooth, softly contoured ceramic silhouette. Rich, yet soothing Crème palette. Fashionable Antique Brass appointments. Quality textured linen shade. Refuses everything; Holds nothing back.",,,,,,,,,1,CHN,O-100001,,,,,No,A21 3-Way,,66,,,False,,"Antique Brass, Cream",,False,False,,,"Ceramic, Metal",1,,False,,,,,White Textured Linen Hardback Shade,,3-Way,True,,150,,,5.00,19.00,30.00,19.00,,,,,,,,,Traditional
D2599,074-811907452-8,6.50,17.00,17.00,30.00,True,295.50,394.00,False,Indoor Lighting,Dimond Lighting,(Pearlescent White) Hand Formed Ceramic Foliage Table Lamp,,Hand Formed Ceramic,,,,,,,,1,CHN,O-100002,,,,,No,A21 3-Way,,,,,False,,Pearlescent White,,False,,,,"Ceramic, Metal",1,,False,,,,,White Linen Hardback Shade,,3-Way,True,,150,,,13.00,18.00,19.00,18.00,,,,,,,,,Traditional
D2597,074-811907450-4,4.00,12.00,19.00,34.00,True,186.00,248.00,False,Indoor Lighting,Dimond Lighting,(Red) Fluted Ceramic Vase Table Lamp,"This Table Lamp Is Traditional And Elegant In Form, Earthware Is Given A Rich Glaze Accenting The Gentle Ribs Of The Lamp Body And Accented With An Antique Brass Base. The Lamp Is Finished With A Hardback Shade In A Crisp Cream Faux Silk To Ensure It Has",,,,,,,,,1,CHN,O-100003,,,,,No,A21 3-Way,,,,,False,,"Brass, Red",,False,,,,"Ceramic, Metal",1,,False,,,,,Cream Faux Silk Hardback Shade With White Fabric Liner,,3-Way,True,,150,,,5.00,19.50,28.00,12.50,,,,,,,,,Traditional
D2596,074-811907449-8,4.00,12.00,19.00,34.00,True,199.50,266.00,False,Indoor Lighting,Dimond Lighting,(White) Fluted Ceramic Vase Table Lamp,"This Table Lamp Is Traditional And Elegant In Form, Earthware Is Given A Rich Glaze Accenting The Gentle Ribs Of The Lamp Body And Accented With An Antique Brass Base. The Lamp Is Finished With A Hardback Shade In A Crisp Cream Faux Silk To Ensure It Has",,,,,,,,,1,CHN,O-100003,,,,,No,A21 3-Way,,66,,,False,,"Brass, White",,False,,,,"Ceramic, Metal",1,,False,,,,,White Faux Silk Hardback Shade With White Fabric Liner,,3-Way,True,,150,,,9.00,28.00,20.00,12.00,,,,,,,,,Traditional
8983-036,081-800803323-0,8.00,15.00,14.50,31.00,True,202.50,270.00,False,Furniture,Dimond Home,1 Wall Street Chrome Accent Table,,,,,,,,,,1,IND,O-100004,,,,,,,,,,,False,,Nickel,,,,,,"Glass, Steel",,,False,,,,,,,,False,,,,,9.40,16.50,36.00,16.50,,,,,,,,,Modern / Contemporary
8983-037,081-800803324-7,7.99,15.00,14.50,31.00,True,202.50,270.00,False,Furniture,Dimond Home,1 Wall Street Gold Accent Table,,,,,,,,,,1,IND,O-100004,,,,,,,,,,,False,,Gold,,,,,,"Glass, Steel",,,False,,,,,,,,False,,,,,9.40,16.50,36.00,16.50,,,,,,,,,Modern / Contemporary
17027/1-LED,074-811905642-5,11.00,14.00,14.00,56.00,True,214.50,286.00,False,Indoor Lighting,Dimond Lighting,1- Light Floor Lamp In Aged Bronze - Led Offering Up To 800 Lumens (60 Watt Equivalent) With Full Ra,"Perfect for any executive or residential reading area, the Elysburg LED Floor Lamp offers classic good looks and high quality swingarm construction. Generously scaled with a convenient 3-way switch and silky Taupe fabric shade. Distinctive Aged Bronze finish.","Generously Scaled, With A Convenient 3-Way Switch.",Silky Taupe Hardback Fabric Shade.,Distinctive Aged Bronze Finish.,Durable Led Technology.,,,,,1,CHN,O-100005,,,,,Yes,LED,,72,,,False,,Aged Bronze,,False,False,,,Steel,1,,False,,,,,Taupe Faux Silk Hardback Shade,,Line Switch,False,,9.5,,,13.00,17.00,18.00,17.00,,,,,,,,,Traditional
17047/1-LED,074-811905643-2,11.00,14.00,14.00,56.00,True,214.50,286.00,False,Indoor Lighting,Dimond Lighting,1- Light Floor Lamp In Satin Nickel - Led Offering Up To 800 Lumens (60 Watt Equivalent) With Full R,"Perfect for any executive or residential reading area, the Elysburg LED Floor Lamp offers classic good looks and high quality swingarm construction. Generously scaled with a convenient 3-way switch and silky Taupe fabric shade. Stylish Satin Nickel finish.","Generously Scaled, With A Convenient 3-Way Switch.",Silky Taupe Hardback Fabric Shade.,Stylish Satin Nickel Finish.,Durable Led Technology.,,,,,1,CHN,O-100005,,,,,Yes,LED,,72,,,False,,Satin Nickel,,False,False,,,Metal,1,,False,,,,,White Faux Silk Hardback Shade,,Line Switch,False,,9.5,,,13.00,17.00,18.00,17.00,,,,,,,,,Traditional
D2711,074-811907388-0,4.40,4.00,6.00,22.00,True,159.00,212.00,False,Indoor Lighting,Dimond Lighting,11W Led Table Lamp With Crystal And Chrome Finish,,,,,,,,,,1,CHN,O-100006,,,,,Yes,Integrated LED,,66,,,False,,Chrome,,False,False,,,Metal,,,False,,,,,Polished Chrome And Clear Crystal Linear Shade,,Line Switch,True,,11,,,6.00,16.00,22.00,9.00,,,,,,,,,Modern / Contemporary
D2716,074-811907393-4,16.50,13.00,13.00,63.00,True,450.00,600.00,False,Indoor Lighting,Dimond Lighting,15W Led Contemporary Floral Display Floor Lamp In Silver Finish,,,,,,,,,,1,CHN,O-100007,,,,,Yes,Integrated LED,,72,,,False,,Silver,,False,False,,,Aluminum,,,False,,,,,Open Work Faux Floral Arrangement,,On-Off Line Switch,True,,1.5,,,21.00,64.00,14.00,14.00,,,,,,,,,Modern / Contemporary
D2712,074-811907389-7,11.90,6.00,8.00,62.00,True,366.00,488.00,False,Indoor Lighting,Dimond Lighting,17W Led Floor Lamp With Crystal And Chrome Finish,,,,,,,,,,1,CHN,O-100008,,,,,Yes,Integrated LED,,72,,,False,,Chrome,,False,False,,,Metal,,,False,,,,,Polished Chrome And Clear Crystal Linear Shade,,Foot Switch,True,,17,,,15.00,16.00,22.00,9.00,,,,,,,,,Modern / Contemporary
145-001,084-355808201-8,3.70,9.00,9.00,10.00,True,105.00,140.00,False,Indoor Lighting,Sterling,1Light Glass Pendant Lamp,,,,,,,,,,1,CHN,O-100009,,,,,No,A19,,72,,,False,,"Clear, Oiled Bronze",,,False,,,"Glass, Metal",1,,False,,,,,Clear Glass Shade,,,True,,60,,,6.00,11.00,13.00,11.00,,,,,,,,,Traditional
145-002,084-355808202-5,4.50,11.00,11.00,12.00,True,139.50,186.00,False,Indoor Lighting,Sterling,1Light Glass Pendant Lamp,,,,,,,,,,1,CHN,O-100009,,,,,No,A19,,72,,,False,,"Clear, Oiled Bronze",,,False,,,"Glass, Metal",1,,False,,,,,Clear Glass Shade,,,True,,60,,,7.00,15.00,13.00,13.00,,,,,,,,,Traditional
143-001,084-355808176-9,1.00,20.00,20.00,11.00,True,133.50,178.00,False,Indoor Lighting,Sterling,1Light Mini Pendant Lamp,,,,,,,,,,1,CHN,O-100009,,,,,No,A19,,72,,,False,,White,,,False,,,Pvc,1,,False,,,,,,,,True,,100,,,3.00,6.00,16.00,6.00,,,,,,,,,Modern / Contemporary
144-025,084-355808412-8,2.00,9.00,9.00,12.00,True,63.00,84.00,False,Indoor Lighting,Sterling,1Light Mini Pendant Lamp,"Jewelry both attracts the eye and creates visual balance. The Mop Shell Pendant is jewelry for the ceiling, cascading beautifully opalescent wafers of genuine Mother of Pearl and shimmering arias of faceted glass from a lustrous coil of Polished Chrome.",,,,,,,,,1,CHN,O-100009,,,,,No,A19,,72,,,False,,"Chrome, Mop Shell",,,False,,,"Mop Shell, Metal",1,,False,,,,,,,,True,,100,,,4.00,19.00,15.00,11.00,,,,,,,,,Transitional
113-1134,084-355802956-3,9.00,10.00,18.00,31.00,True,150.00,200.00,False,Indoor Lighting,Dimond Lighting,2 Birds Iron Table Lamp,,,,,,,,,,1,CHN,O-100010,,,,,No,A21 3-Way,,66,,,False,,Antique White,,False,False,,,Iron,1,,False,,,,,Light Beige Linen Softback Shade With Cream Fabric Liner,,3-Way,True,,100,,,11.00,16.00,25.00,13.00,,,,,,,,,Traditional
93-139,084-355801201-5,11.00,19.00,19.00,16.50,True,270.00,360.00,False,Indoor Lighting,Sterling,2 Lite Collectors Pendant (Wine Bottles Not Included),,,,,,,,,,1,CHN,O-100011,,,,,No,A19,,72,,,False,,Black,,True,False,,,Metal,2,,False,,,,,,,Hardwired,False,,100,,,12.00,21.00,21.00,8.00,,,,,,,,,Traditional
714036,080-432314036-4,,16.00,30.00,26.00,True,313.50,418.00,False,Furniture,Guildmaster,2 Tiered Accent Table,2 Tiered Accent Table with graduated sides in Artisan Surf City finish.,Hand Painted,,,,,,,,1,IDN,O-100012,,,,,,,,,,,False,,Artisan Surf City,,,,,,Mahogany,,,False,,,,,,,,False,,,,,20.00,20.00,33.00,9.00,,,,,,,,,Traditional
D140-LED,074-811908091-8,12.00,8.00,14.00,24.00,True,114.00,152.00,False,Indoor Lighting,Dimond Lighting,24-Inch Ribbed Clear Glass Led Table Lamp In Brushed Steel,,,,,,,,,,1,CHN,O-100013,,,,,Yes,A21 LED 3-Way,,66,,,False,,Clear,,False,False,,,"Steel, Glass",1,,False,,,,,Pure White Faux Silk Hardback Shade,,3-Way,True,,9.5,,,17.00,15.00,12.00,9.00,,,,,,,,,Transitional
144-015,084-355808192-9,4.00,16.00,16.00,17.50,True,97.50,130.00,False,Indoor Lighting,Sterling,3 Light Clear Mini Chandelier,,,,,,,,,,1,CHN,O-100014,,,,,No,B11,,72,,,False,,"Chrome, Clear",,,False,,,"Acrylic, Glass, Metal",3,,False,,,,,No Shade,,,True,,60,,,6.00,16.00,11.00,14.00,,,,,,,,,Traditional
7011-027,081-800802423-8,7.00,11.00,15.00,22.00,True,243.00,324.00,False,Furniture,Sterling,3-Drawer East Hampton Side Table,"The exquisitely appointed contours of our East Hampton Series 3-Drawer Side Table are proof of our belief that Every truly tasteful design space benefits from the presence of a refined piece of furniture; whether as a sophisticated complement to a contemporary decor, or as an integral part of a broader classical motif. With its delightfully skirted lower drawer, delectable Sabered legs, and distinctive Heritage Grey Whitewash finish, the East Hampton is instantly the star of any bedroom retreat or elegant corridor. Solid Mahogany construction.",,,,,,,,,1,IDN,O-100015,,,,,,,,,,,False,,"Heritage Grey Stain, Whitewash",,,,,,Solid Mahogany,,,False,,,,,,,,False,,,,,19.80,23.60,15.40,13.40,,,,,,,,,Traditional
7011-251,080-434319270-1,,19.00,24.00,26.00,True,418.50,558.00,False,Furniture,Guildmaster,3-Drawer Nightstand In Woodlands Stain,,,,,,,,,,1,IDN,O-100016,,,,,,,,,,,False,,Woodlands Stain,,,,,,Wood,,,False,,,,,,,,False,,,,,55.00,26.40,25.80,21.40,,,,,,,,,Traditional
7011-1394,081-800803920-1,,2.00,41.00,55.00,True,298.50,398.00,False,Wall Decor,Dimond Home,"30,000 Feet",,Hand Painted,Mahogany Structure,Hand Finished Frame,,,,,,1,IDN,O-100017,,,,,,,,,,,False,,Silver Paint,,,,,,"WOOD COMPOSITE, HAND STRETCHED CANVAS",,,False,,,,,,,,False,,,,,,43.15,58.33,3.57,,43.15,58.33,3.57,,,,,Modern / Contemporary
6043526,080-909643526-6,17.00,60.00,36.00,0.30,True,420.00,560.00,False,Furniture,Sterling,36''X60'' Rectangle Glass Top,,,,,,,,,,1,CHN,O-100018,,,,,,,,,,,False,,Clear,,,,,,Glass,,,False,,,,,,,,False,,,,,19.00,38.00,62.00,2.50,,,,,,,,,Modern / Contemporary
713573G,040-003001241-5,,36.00,36.00,36.00,True,598.50,798.00,False,Furniture,Guildmaster,36-Inch Metal Bistro Table,,,,,,,,,,1,IDN,O-100019,,,,,,,,,,,False,,Brown,,,,,,,,,False,,,,,,,,False,,,,,46.30,37.00,37.00,37.00,,,,,,,,,Traditional
150024,081-800801672-1,35.00,29.00,16.00,32.00,True,622.50,830.00,False,Furniture,Dimond Home,4 Drawer Flat File Cabinet,Made From Plantation Grown Hardwoods This 4 Drawer Cabinet Is Perfect For Paper And Document Storage In A Home Office,Handcrafted,,,,,,,,1,CHN,O-100020,,,,,,,,,,,False,,"Blackened Iron, Natural",,,False,,,Hardwood,,,False,,,,,,,,False,,,,,38.00,37.00,41.00,21.00,,,,,,,,,Transitional
644038,080-432364403-9,,14.00,62.00,36.00,True,1063.50,1418.00,False,Furniture,Guildmaster,4 Drawer Sideboard,Four drawer Sideboard with Portuguese Tile Art. Top is Signature White finish.,Hand Painted,,,,,,,,1,IDN,O-100021,,,,,,,,,,,False,,Hand-Painted,,,,,,Mahogany,,,False,,,,,,,,False,,,,,158.70,64.20,39.40,16.50,,,,,,,,,Traditional
132-009,084-355808006-9,5.70,1.00,20.00,20.00,True,99.00,132.00,False,Wall Decor,Sterling,4 Leaf Clover Mirror,The Albern Four Leaf Clover Mirror by Sterling will create a striking focal point in any space. This classic gothic shape has been firmly updated with the addition of leaf motifs and lines that are set within a square frame–all hand-painted in gold leaf f,,,,,,,,,1,CHN,O-100022,,,,,,,,,,,False,,Gold Leaf,,,,,,Metal,,,False,,,,,,,,False,,,,,11.00,22.00,1.00,21.00,,,,,,,,,Transitional
D2173,074-811902598-8,30.00,45.00,45.00,83.00,True,300.00,400.00,False,Indoor Lighting,Dimond Lighting,5 -Light Arc Floor  Lamp With Metal Shades,,,,,,,,,,1,CHN,O-100023,,,,,No,B11,,72,,,False,,"Chrome, White",,False,False,,,"Marble, Metal",5,,False,,,,,Matching Steel Shade,,On-Off Socket,True,,40,,,31.00,19.00,19.00,6.00,13.00,69.00,5.00,18.00,,,,,Modern / Contemporary
D2708,074-811907385-9,6.00,20.00,4.00,11.00,True,99.00,132.00,False,Indoor Lighting,Dimond Lighting,5W Led Desk Lamp In Chrome Finish,,,,,,,,,,1,CHN,O-100024,,,,,Yes,Integrated LED,,66,,,False,,Polished Chrome,,False,False,,,"Glass, Metal",,,False,,,,,Frosted Glass Diffuser,,Line Switch,True,,5,,,6.00,9.00,25.00,5.00,,,,,,,,,Transitional
D2709,074-811907386-6,4.60,7.00,12.00,19.00,True,102.00,136.00,False,Indoor Lighting,Dimond Lighting,5W Led Desk Lamp In Chrome Finish,,Width Adjustable From 12-Inch To 22-Inch,Depth Adjustable From 7 To 17,,,,,,,1,CHN,O-100024,,,,,Yes,Integrated LED,,,,,False,,Polished Chrome,,False,False,,,"Glass, Metal",,,False,,,,,Polish Chrome Shade With Frosted Glass Diffuser,,Line Switch,True,,5,,,6.00,16.00,22.00,9.00,,,,,,,,,Traditional
140-005,084-355808158-5,7.50,21.00,21.00,23.00,True,307.50,410.00,False,Indoor Lighting,Sterling,6 Light Rustic Iron Orb Chandelier With Honeycomb Metal Work,A great chandelier can bring drama and help define the space in an understated room. This Strathroy 6-Light Orb Chandelier With Honeycomb Metal Work by Sterling will do exactly that. The industrial quality of this chandelier is emphasized through the iron,,,,,,,,,1,CHN,O-100025,,,,,No,B11,,,,,False,,Aged Bronze,,,False,,,Metal,6,,False,,,,,Open Frame Metal Shade,,,True,,60,,,14.50,25.00,23.00,23.00,,,,,,,,,Transitional
102501,080-432301525-8,,8.00,60.00,60.00,True,1198.50,1598.00,False,Wall Decor,Guildmaster,60-Inch Square Mirror,"Aged tin and wood mirror. Antiqued tin finish with aged and distressed shades of gray, cream, white, and stain. Antiqued beveled mirror.",,,,,,,,,1,IDN,O-100026,,,,,,,,,,,False,,Antique Metal,,,,,,Tin,,,False,,,,,,,,False,,,,,55.20,65.00,65.00,12.00,,,,,,,,,Traditional
D2715,074-811907392-7,4.00,8.00,8.00,39.00,True,226.50,302.00,False,Indoor Lighting,Dimond Lighting,6W Led Contemporary Floral Display Floor Lamp In Silver Finish,,,,,,,,,,1,CHN,O-100027,,,,,Yes,Integrated LED,,72,,,False,,Silver,,False,False,,,Aluminum,,,False,,,,,Open Work Faux Floral Arrangement,,On-Off Line Switch,True,,1.5,,,7.00,10.00,12.00,10.00,,,,,,,,,Modern / Contemporary
6117503AS,080-434320063-5,301.00,72.00,72.00,30.00,True,1348.50,1798.00,False,Outdoor,Guildmaster,72-Inch Round Dining Table,Antique Smoke finish on Teak dining table with slat design table top.,,,,,,,,,1,IDN,O-100028,,,,,,,,,,,False,,Antique Smoke,,,,,,Teak,,,True,,,,,,,,False,,,,,105.00,38.00,32.00,37.00,172.00,75.00,75.00,5.00,,,,,Traditional
6117503BU,080-434320065-9,301.00,72.00,72.00,30.00,True,1348.50,1798.00,False,Outdoor,Guildmaster,72-Inch Round Dining Table,Burnt Umber finish on Teak dining table with slat design table top.,,,,,,,,,1,IDN,O-100028,,,,,,,,,,,False,,Burnt Umber,,,,,,Teak,,,True,,,,,,,,False,,,,,102.00,38.00,32.00,38.00,150.00,75.00,75.00,5.00,,,,,Traditional
6117503ET,080-434320064-2,301.00,72.00,72.00,30.00,True,1348.50,1798.00,False,Outdoor,Guildmaster,72-Inch Round Dining Table,Euro Teak Oil finish on Teak dining table with slat design table top.,,,,,,,,,1,IDN,O-100028,,,,,,,,,,,False,,Euro Teak Oil,,,,,,Teak,,,True,,,,,,,,False,,,,,102.00,37.00,32.00,37.00,168.00,75.00,75.00,5.00,,,,,Traditional
6117503HT,080-434320515-9,110.00,72.00,72.00,30.00,True,1348.50,1798.00,False,Outdoor,Guildmaster,72-Inch Round Dining Table,Henna Teak finish on Teak dining table with slat design table top.,,,,,,,,,1,IDN,O-100028,,,,,,,Brown,,,,False,,Henna Teak,,,,,,Teak,,,True,,,,,,,,False,,,,,187.00,75.00,75.00,4.25,,,,,,,,,Traditional
D2718,074-811907395-8,6.20,17.00,17.00,26.00,True,249.00,332.00,False,Indoor Lighting,Dimond Lighting,7W Led Abstract Metal Work Table Lamp In Silver Finish,,,,,,,,,,1,CHN,O-100029,,,,,Yes,Integrated LED,,,,,False,,Silver,,False,False,,,Aluminum,,,False,,,,,Abstract Open Work Metal Shade,,On-Off Base Switch,True,,1.5,,,8.00,19.00,35.00,19.00,,,,,,,,,Modern / Contemporary
D2720,074-811907397-2,4.90,9.00,9.00,34.00,True,211.50,282.00,False,Indoor Lighting,Dimond Lighting,7W Led Contemporary Floral Display Floor  Lamp In Silver Finish,,,,,,,,,,1,CHN,O-100030,,,,,"Yes, No",Integrated LED,,,,,False,,Silver,,False,False,,,Aluminum,5,,False,,,,,Open Work Faux Floral Arrangement,,On-Off Line Switch,True,,1.5,,,8.00,11.00,34.00,11.00,,,,,,,,,Modern / Contemporary
D2717,074-811907394-1,6.20,13.00,13.00,51.00,True,249.00,332.00,False,Indoor Lighting,Dimond Lighting,7W Led Contemporary Floral Display Floor Lamp In Silver Finish,,,,,,,,,,1,CHN,O-100030,,,,,Yes,Integrated LED,,72,,,False,,Silver,,False,False,,,Aluminum,,,False,,,,,Open Work Faux Floral Arrangement,,On-Off Line Switch,True,,1.5,,,9.00,35.00,13.00,13.00,,,,,,,,,Modern / Contemporary
3212-1004,084-355815587-3,1.40,5.91,15.75,17.72,True,43.50,58.00,False,Decorative Accessory,Sterling,A Cock Of Doodles Decorative Accessory,,,,,,,,,,1,CHN,O-100031,,,,,,,,,,,False,,Rust,,,,,,METAL,,,False,,,,,,,,False,,,,,6.20,19.02,17.24,13.94,,17.10,19.10,7.30,,,,,traditional
D3559,081-800803815-0,5.70,17.00,17.00,21.00,True,179.00,322.20,False,Indoor Lighting,Dimond Lighting,A Loom In Essence Pendant,"Our textile-inspired ‘A Loom In Essence' pendant forms a massive dome of hand-loomed rope woven in thick white plaits. Offers excellent design range, unique textural complexity, and soft neutral color. Perfect for adding big contrast to a small modern space.",,,,,,,,,1,CHN,O-100032,,,,,No,A19,,,,,False,,White,,,,,,Rope,1,,False,,,,,,,,True,,100,,,24.00,23.00,20.00,20.00,,,,,,,,,Transitional
D3940,081-800804581-3,12.10,16.00,16.00,27.00,True,189.00,340.20,False,Indoor Lighting,Dimond Lighting,A Trois Table Lamp,Architectural lines and free floating orbs are translated in crystal to make a sophisticated statement. A light grey faux silk fabric shade complements the lamp’s design for spectacular visual interest. This piece can effortlessly provide designer flair to a transitional to contemporary room setting.,High Quality Crystal.,Floating Crystal Orbs.,Faux Silk Shade.,,,,,,1,CHN,O-100033,,,,,No,A21 3-Way,Clear,66,,,False,,Clear,,False,False,,,Crystal,1,,False,,,,,Hardback,,3-Way,True,,150,,,17.60,17.00,22.50,17.00,,,,,,,,,Modern / Contemporary
51-0096,084-355801993-9,2.00,12.80,12.80,7.30,True,33.00,44.00,False,Decorative Accessory,Sterling,A-Beachcomber Bowl,,,,,,,,,,1,CHN,O-100034,,,,,,,,,,,False,,"Bleached Wood, Dark Grey",,,,,,"MDF, Metal",,,False,,,,,,,,False,,,,,3.00,14.00,14.00,9.00,,,,,,,,,Transitional
51-0834,084-355801960-1,2.20,3.00,9.00,14.00,True,42.00,56.00,False,Decorative Accessory,Sterling,A-Finial Clock,,,,,,,,,,1,CHN,O-100035,,,,,,,,,,,False,,"Burnished Copper, Distressed Black Paint",,,,,,"MDF, Metal",,,False,,,,,,,,False,,,,,2.70,16.00,5.00,11.00,,,,,,,,,
60-1540,084-355800949-7,1.00,5.00,6.00,5.00,True,40.50,54.00,False,Decorative Accessory,Sterling,A-Fire Island Coral,Welcome The Exotic Coral Reef Into Your Home With The Sterling Fire Island Coral Statue. The Intense Coral Red Color Adds Drama To Any Decor Where The Feeling Of Coastal Living Is Desired. So Bring The Tropics Home And Enjoy The Fire Island Coral Statue E,,,,,,,,,1,CHN,O-100036,,,,,,,,,,,False,,"Black, Red",,,,,,Composite,,,False,,,,,,,,False,,,,,3.00,9.00,8.00,8.00,,,,,,,,,Transitional
72-4241,084-355802045-4,9.00,5.00,10.00,17.00,True,58.50,78.00,False,Decorative Accessory,Sterling,A-Harlequin And Tassel Urn,,,,,,,,,,1,CHN,O-100037,,,,,,,,,,,False,,Dijontique,,,,,,"Ceramic, Metal",,,False,,,,,,,,False,,,,,10.00,21.00,12.00,6.00,,,,,,,,,
84-0257,084-355801182-7,3.00,3.00,12.00,12.00,True,61.50,82.00,False,Decorative Accessory,Sterling,A-Movie Clapper Keeper,,,,,,,,,,1,CHN,O-100038,,,,,,,,,,,False,,"Black, White",,,,,,Metal,,,False,,,,,,,,False,,,,,4.00,12.00,12.00,3.00,,,,,,,,,
51-8212,084-355801444-6,2.00,7.00,12.00,15.50,True,54.00,72.00,False,Decorative Accessory,Sterling,A-Olivier Camera,"Reminiscent Of Old Hollywood, This Sterling Vintage Movie Reel Olivier Camera Display Features Black And Antiqued Brass Finishes In Metal Materials. For The Movie Fan, This Makes A Great Accessory Piece On Any Home Shelf Display. Item Measures 15.5 Inches",,,,,,,,,1,CHN,O-100039,,,,,,,,,,,False,,"Black, Gold",,,,,,Metal,,,False,,,,,,,,False,,,,,4.00,12.00,14.00,7.00,,,,,,,,,Traditional
4-83037,083-274000171-5,2.80,3.00,7.00,5.00,True,37.50,50.00,False,Decorative Accessory,Sterling,A-Pair Baby Rabbit Bookends#93,Bookends Are Another Great Desk Accessory That Help Keep Order While Adding A Touch Of Style. The Pair Of Baby Rabbit Bookends By Sterling Will Stand-Out And Add Unique Character To Your Home. Each Bookend Features A Standing Bunny Rabbit That Is Holding,,,,,,,,,1,CHN,O-100040,,,,,,,,,,,False,,Gold,,,,,,Composite,,,False,,,,,,,,False,,,,,3.00,9.00,5.00,7.00,,,,,,,,,Traditional
51-3857,084-355801586-3,3.00,5.00,13.00,8.30,True,61.50,82.00,False,Decorative Accessory,Sterling,A-Pair Bicycle Bookends,"For The Cycling Enthusiast, Sterling Has A Pair Of Old Styled Bicycle Bookends That Keeps Books In Place Or Simply Adds A Decorative Accent In Any Room. One Bookend Is The Front Half Of The Bike And The Other Bookend Is The Back Half Of The Bike. Metal Co",,,,,,,,,1,CHN,O-100041,,,,,,,,,,,False,,"Arged Red, Rust",,,,,,Metal,,,False,,,,,,,,False,,,,,4.00,14.00,10.00,6.00,,,,,,,,,Traditional
4-83032,083-274000170-8,5.30,5.00,11.00,9.00,True,61.50,82.00,False,Decorative Accessory,Sterling,A-Pair Black Greyhound Bookends,"Originally Bred And Trained For Hunting, The Greyhound Today Is Known For Their Brilliant Speed, Intelligence, Kind Demeanor And Is Often The Subject Of Many Rescues. The Pair Of Black Greyhound Bookends By Sterling Can Be A Thoughtful Gift Item For The S",,,,,,,,,1,CHN,O-100042,,,,,,,,,,,False,,Painted,,,,,,Resin,,,False,,,,,,,,False,,,,,6.00,13.00,7.00,11.00,,,,,,,,,Traditional
51-3026,084-355801967-0,3.00,10.00,10.00,11.00,True,93.00,124.00,False,Decorative Accessory,Sterling,A-Set/2 Roth Boxes,,,,,,,,,,2,CHN,O-100043,,,,,,,,,,,False,,"Hand Rubbed Green, Rusted Bronze",,,,,,Metal,,,False,,,,,,,,False,,,,,6.00,11.00,11.00,11.00,,,,,,,,,
4-8527172,083-274000217-0,3.30,6.00,10.00,8.80,True,69.00,92.00,False,Decorative Accessory,Sterling,A-Set/2 Sprawling Elephants,"Pay Homage To These Gentle Giants Which Have Long Been A Symbol Of Wisdom And Nobility. Sitting On Any Shelf In Your Home--In The Living Room, Family Room, Dining Room, Bedroom Or Den. This Pair Of Sterling Sprawling Elephants Statues Are The Perfect Gift",,,,,,,,,2,CHN,O-100044,,,,,,,,,,,False,,Dark Bronze,,,,,,Composite,,,False,,,,,,,,False,,,,,3.00,11.00,9.00,11.00,,,,,,,,,Traditional
