manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,product__arm_height,product__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__designer_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,product_styles
2181-098/S3,081-800804550-9,2.09,6.00,6.00,47.00,True,112.50,150.00,False,Decorative Accessory,Dimond Home,Thrushcross Decorative Sprigs - White,,Great Filler For Creating Depth And Ambience.,,,,,,,,3,CHN,O-104243,,,,,,,White,,,,False,,White,,,,,,Rattan,,,False,,,,,,,,False,,,,,3.20,48.10,5.00,11.90,,,,,,,,,Transitional
3212-1013,084-355815735-8,17.64,11.00,15.00,35.83,True,193.50,258.00,False,Decorative Accessory,Sterling,Thurston Decorative Accessory - Medium,,,,,,,,,,1,CHN,O-104244,,,,,,,,,,,False,,Restoration Grey,,,,,,COMPOSITE,,,False,,,,,,Medium,,False,,,,,13.23,40.00,19.00,15.00,,,,,,,,,Transitional
3212-1014,084-355815736-5,7.72,10.00,12.00,35.83,True,163.50,218.00,False,Decorative Accessory,Sterling,Thurston Decorative Accessory - Narrow,,,,,,,,,,1,CHN,O-104244,,,,,,,,,,,False,,Restoration Grey,,,,,,COMPOSITE,,,False,,,,,,,,False,,,,,,25.22,35.85,13.40,,,,,,,,,Transitional
3212-1015,084-355815734-1,20.07,12.00,17.00,35.43,True,262.50,350.00,False,Decorative Accessory,Sterling,Thurston Decorative Accessory - Wide,,,,,,,,,,1,CHN,O-104244,,,,,,,,,,,False,,Restoration Grey,,,,,,COMPOSITE,,,False,,,,,,,,False,,,,,22.05,41.00,17.00,23.00,,,,,,,,,Transitional
7115008,080-432320210-9,,15.00,22.00,28.00,True,448.50,598.00,False,Furniture,Guildmaster,Thyme Garden Accent Table,Artisan Stain finish on solid wood accent table with hand-carved asian accent skirt.,Hand Painted,,,,,,,,1,IDN,O-104245,,,,,,,,,,,False,,Artisan Stain,,,,,,Mahogany,,,False,,,,,,,,False,,,,,19.00,32.00,17.00,24.00,,,,,,,,,Traditional
713042S,080-432313402-8,,18.00,18.00,24.00,True,373.50,498.00,False,Furniture,Guildmaster,Thyme Garden Nesting Tables,Driftwood finish on set of two carved bamboo accent nesting tables.,Hand Painted,,,,,,,,1,IDN,O-104246,,,,,,,,,,,False,,Driftwood,,,,,,Mahogany,,,False,,,,,,,,False,,,,,26.50,20.10,27.60,20.10,,,,,,,,,Traditional
298001,080-432320045-7,,18.00,18.00,1.00,True,148.50,198.00,False,Decorative Accessory,Guildmaster,Tic Tac Toe Game Board,Retreat Stained wooden game board with polished aluminum game pieces.,Hand Painted,,,,,,,,1,IDN,O-104247,,,,,,,,,,,False,,Retreat Stain,,,,,,"Aluminum, Mahogany",,,False,,,,,,,,False,,,,,9.00,22.00,22.00,6.00,,,,,,,,,Transitional
3138-427/S2,084-355816150-8,2.37,2.95,11.81,21.85,True,52.50,70.00,False,Wall Decor,Sterling,Ticonderoga Wall Mirror,,Fir Wood Base,Modern Farmhouse,,,,,,,2,CHN,O-104248,,,,,,,Brown,,,,False,,Salvaged Grey Wood,,,,,,"Metal, Mirror, Wood",,,False,,,,,,,,False,,,,,7.00,14.00,21.00,4.00,,,,,,,,,Transitional
1615523S,080-434319187-2,,2.00,18.00,18.00,True,268.50,358.00,False,Wall Decor,Guildmaster,Tides,,,,,,,,,,1,IDN,O-104249,,,,,,,,,,,False,,Hand-Painted,,,,,,Canvas,,,False,,,,,,,,False,,,,,29.00,21.20,9.40,20.40,,,,,,,,,Traditional
2181-062,084-355816063-1,10.25,6.69,19.00,27.00,True,105.00,140.00,False,Decorative Accessory,Sterling,Tidings Of Joy Driftwood Reindeer,,Great For Organic Floral Displays,Can Be Used For Seasonal Decor,,,,,,,1,CHN,O-104250,,,,,,,Brown,,,,False,,Natural,,,,,,Wood,,,False,,,,,,,,False,,,,,12.12,23.62,29.53,7.87,,,,,,,,,transitional
