,manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,boxes__3__weight,boxes__3__length,boxes__3__height,boxes__3__width,product__styles
4892,9167-061/S3,843558153954.0,2.9,4.0,5.0,16.0,True,70.5,,,Decorative Accessory,Sterling,Golden Gosling Decorative Geese,,,,,,,,,,1.0,China,,,,,,,,,,,,,,Gold Plate,,,,,,Earthenware,,,No,,,,,,,,,,,,,10.78,21.26,18.11,15.35,,,,,,,,,,,,,Transitional
4893,9167-062/S2,843558153961.0,9.0,5.5,5.5,27.0,True,159,,,Decorative Accessory,Sterling,Tranquillo Candle Holder,,,,,,,,,,1.0,China,,,,,,,,,,,,,,Gloss White,,,,,,Earthenware,,,No,,,,,,,,,,,,,12.0,16.0,31.0,10.0,,,,,,,,,,,,,Transitional
4894,9167-063/S2,818008045370.0,5.17,6.0,6.0,24.0,True,142.5,,,Decorative Accessory,Dimond Home,Bienvenue Vase,,,Set of 2.,Tall form makes a statement.,,,,,,1.0,China,,,,,,,,,,,,,,"White, Gold",,,,,,Earthenware,,,No,,,,,,,,,,,,,15.0,14.0,27.0,8.0,,,,,,,,,,,,,Modern / Contemporary
4895,9167-065/S2,818008045387.0,6.38,7.0,7.0,21.0,True,133.5,,,Decorative Accessory,Dimond Home,Glitterati Vase,,,Edgy studded design.,Tall form makes a statement.,,,,,,1.0,China,,,,,,,,,,,,,,Gold,,,,,,Earthenware,,,No,,,,,,,,,,,,,14.0,18.0,25.0,10.0,,,,,,,,,,,,,Modern / Contemporary
4896,9167-067,818008045356.0,5.72,15.0,15.0,5.0,True,82.5,,,Decorative Accessory,Dimond Home,Crux Ceramic Bowl,,,Open work earthenware.,,,,,,,1.0,China,,,,,,,,,,,,,,Grey Glaze,,,,,,Earthenware,,,No,,,,,,,,,,,,,9.0,19.0,9.0,18.0,,,,,,,,,,,,,Modern / Contemporary
4897,9167-069/S2,843558166466.0,3.3,8.0,7.0,10.0,True,48,,,Decorative Accessory,Sterling,Peaceful Ends Ceramic White Bird Bookend,,,,,,,,,,1.0,China,,,,,,,,,,,,,,White,,,,,,Earthenware,,,No,,,,,,,,,,,,,5.0,11.0,13.0,11.0,,,,,,,,,,,,,Modern / Contemporary
4898,91-740,832740009339.0,5.0,7.0,10.0,12.3,True,99,,,Indoor Lighting,Sterling,SLEEPING KING FROG,,,,,,,,,,1.0,China,,,,,,No,B11,,66.0,,,,,Filey Green,,,No,,,"Acrylic, Composite",1.0,,No,,,,,Green Leaf Acrylic Shade,,Line Switch,UL,,15.0,,,7.0,12.0,15.0,9.0,,,,,,,,,,,,,Traditional
4899,91-768,841406017823.0,6.0,6.0,8.0,14.5,True,99,,,Indoor Lighting,Sterling,SQUIRREL ACORN LIGHT,,,,,,,,,,1.0,China,,,,,,No,B11,,66.0,,,,,Burwell Bronze,,,No,,,"Composite, Metal",1.0,,No,,,,,Gold Metal Acorn Shade,,Line Switch,UL,,7.0,,,7.0,12.0,20.0,10.0,,,,,,,,,,,,,Traditional
4900,91-840,843558011902.0,9.0,18.0,9.0,35.0,True,192,,,Indoor Lighting,Dimond Lighting,DRIFTWOOD/PICK SH#91-840,,,,,,,,,,1.0,China,,,,,,No,A21 3-Way,,66.0,,,,,Silver Leaf,,,No,,,Composite,1.0,,No,,,,,Bronze Faux Silk Softback Shade,,3-Way,UL,,100.0,,,13.0,33.0,11.0,11.0,,,,,,,,,,,,,Transitional
4901,91-840-LED,843558078813.0,9.0,18.0,9.0,35.0,True,207,,,Indoor Lighting,Dimond Lighting,Driftwood LED Table Lamp in Silver Leaf,,,"Includes dimmable, easily replaceable 9.5 watt 800 lumen screw-in LED bulb",,,,,,,1.0,China,,,,,,Yes,A21 LED 3-Way,,66.0,,,,,Silver Leaf,,,No,,,Composite,1.0,,No,,,,,Bronze Faux Silk Softback Shade,,3-Way,UL,,9.5,,,13.0,11.0,33.0,11.0,,,,,,,,,,,,,Transitional
