,manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,boxes__3__weight,boxes__3__length,boxes__3__height,boxes__3__width,product__styles
2994,4154-027,084-355813766-4,5.3,,7.5,15.0,True,93.84,136.0,False,Decorative Accessory,Dimond Home,Stacked Cuts Glass Vase,,,,,,,,,,,CHN,,,,,,,,,,,,,,Amber,,,,,,Glass,,,,,,,,,,,,,,,,5.1,10.0,18.0,10.0,,,,,,,,,,,,,Transitional
2995,4154-028,084-355813767-1,5.3,,7.5,15.0,True,93.84,136.0,False,Decorative Accessory,Dimond Home,Stacked Cuts Glass Vase,,,,,,,,,,,CHN,,,,,,,,,,,,,,Teal,,,,,,Glass,,,,,,,,,,,,,,,,6.2,10.0,17.5,10.0,,,,,,,,,,,,,Transitional
2996,4154-029,084-355813768-8,7.3,,9.4,6.9,True,85.56,124.0,False,Decorative Accessory,Dimond Home,Stacked Cuts Glass Low Vase,,,,,,,,,,,CHN,,,,,,,,,,,,,,Teal,,,,,,Glass,,,,,,,,,,,,,,,,7.9,11.9,9.4,11.9,,,,,,,,,,,,,Transitional
2997,4154-030,084-355813769-5,7.3,,9.4,6.9,True,85.56,124.0,False,Decorative Accessory,Dimond Home,Stacked Cuts Glass Low Vase,,,,,,,,,,,CHN,,,,,,,,,,,,,,Amber,,,,,,Glass,,,,,,,,,,,,,,,,7.75,12.0,10.0,12.0,,,,,,,,,,,,,Transitional
2998,4154-032,084-355813771-8,2.4,,5.3,16.1,True,64.86,94.0,False,Decorative Accessory,Dimond Home,Tapered Hand Cut Glass Finial,,,,,,,,,,,CHN,,,,,,,,,,,,,,Teal,,,,,,Glass,,,,,,,,,,,,,,,,4.0,19.0,8.0,8.0,,,,,,,,,,,,,Transitional
2999,4154-033,084-355813772-5,,,8.5,22.0,True,109.02,158.0,False,Decorative Accessory,Sterling,Tapered Hand Cut Glass Finial,,,,,,,,,,,CHN,,,,,,,,,,,,,,Amber,,,,,,Glass,,,,,,,,,,,,,,,,8.5,26.0,12.0,12.0,,,,,,,,,,,,,Transitional
3000,4154-034,084-355813773-2,,,8.5,22.0,True,109.02,158.0,False,Decorative Accessory,Sterling,Tapered Hand Cut Glass Finial,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Amber, Green",,,,,,Glass,,,,,,,,,,,,,,,,8.5,26.0,12.0,12.0,,,,,,,,,,,,,Transitional
3001,4154-035,084-355813774-9,,,6.0,21.0,True,81.42,118.0,False,Decorative Accessory,Sterling,Erlenmeyer Hand Cut Glass Finial,,,,,,,,,,,CHN,,,,,,,,,,,,,,Amber,,,,,,Glass,,,,,,,,,,,,,,,,5.5,24.0,9.0,9.0,,,,,,,,,,,,,Transitional
3002,4154-036,081-800802487-0,4.0,,6.0,21.0,True,85.56,124.0,False,Decorative Accessory,Dimond Home,Erlenmeyer Hand Cut Glass Finial,,,,,,,,,,,CHN,,,,,,,,,,,,,,Grey,,,,,,Glass,,,,,,,,,,,,,,,,5.5,24.0,9.0,9.0,,,,,,,,,,,,,Transitional
3003,4154-037,084-355813776-3,9.7,,6.5,15.6,True,99.36,144.0,False,Decorative Accessory,Dimond Home,Stacked Cuts Glass Vase,,,,,,,,,,,CHN,,,,,,,,,,,,,,Grey,,,,,,Glass,,,,,,,,,,,,,,,,11.0,9.8,18.1,9.0,,,,,,,,,,,,,Transitional
