creation_date,manufacturer_sku,ean13,weight,length,width,height,prop__65,cost_price,min_price,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__bullets__7,product__bullets__8,product__bullets__9,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__finish,attrib__kit,attrib__material,attrib__number_bulbs,attrib__outdoor_safe,attrib__pile_height,attrib__seat_height,attrib__seat_width,attrib__switch_type,attrib__ul_certified,attrib__wattage,attrib__weight_capacity,product__styles,boxes__0__width,boxes__0__length,boxes__0__height,boxes__0__weight,boxes__1__width,boxes__1__length,boxes__1__height,boxes__1__weight,boxes__2__width,boxes__2__length,boxes__2__height,boxes__2__weight,multi__piece__0__length,multi__piece__0__width,multi__piece__0__height,multi__piece__1__length,multi__piece__1__width,multi__piece__1__height,multi__piece__2__length,multi__piece__2__width,multi__piece__2__height,multi__piece__3__length,multi__piece__3__width,multi__piece__3__height,lamp__base__length,lamp__base__width,lamp__base__height,backplate__canopy__length,backplate__canopy__width,backplate__canopy__height,drawer__interior__0__length,drawer__interior__0__width,drawer__interior__0__height,drawer__interior__1__length,drawer__interior__1__width,drawer__interior__1__height,drawer__interior__2__length,drawer__interior__2__width,drawer__interior__2__height
2016-10-09T00:00:00.000000,3205-009,084-355815394-7,1.37,2.95,9.25,9.25,true,25.50,34.00,Wall Decor,Sterling,Somers Point Wall Clock,,,,,,,,,,,,Salvaged Metal,1,CHN,S-9062860,,false,,,,,,Salvaged Metal,,Metal,0,false,,,,,false,,,Modern Farmhouse Urban / Industrial,6.00,12.00,12.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09T00:00:00.000000,3206-003/S9,084-355815399-2,10.30,1.37,36.00,36.00,true,133.50,178.00,Wall Decor,Sterling,Via Kythira Wall Decor,,,,,,,,,,,,Printed Agate,1,CHN,S-9062860,,false,,,,,,Printed Agate,,Metal,0,false,,,,,false,,,Eclectic Nature-Inspired / Organic,13.80,16.10,14.20,12.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09T00:00:00.000000,3206-007/S3,084-355815400-5,24.93,17.00,18.00,24.00,true,276.00,368.00,Furniture,Sterling,Magna Graecia Nested Accent Tables,,,,,,,,,,,,Gold,1,CHN,S-9065505,,false,,,,,,"Gold, Printed Agate",,"Glass, Metal, Wood",0,false,,,,,false,,,Eclectic Nature-Inspired / Organic,20.10,20.10,26.00,30.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-07T00:00:00.000000,3212-1000,084-355815585-9,10.40,9.00,22.00,8.00,true,111.00,148.00,Decorative Accessory,Sterling,Atchafalaya Decorative Accessory,,,,,,,,,,,,Plated Silver,1,CHN,S-9068078,,false,,,,,,Plated Silver,,COMPOSITE,0,false,,,,,false,,,Eclectic Nature-Inspired / Organic,12.00,25.00,13.00,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-07T00:00:00.000000,3212-1001,084-355815586-6,6.80,17.00,15.00,21.00,true,94.50,126.00,Wall Decor,Sterling,Skjold Wall Decor,,,,,,,,,,,,Silver,1,CHN,S-9062860,,false,,,,,,Silver,,COMPOSITE,0,false,,,,,false,,,Southwestern Nature-Inspired / Organic,12.76,19.21,17.83,18.10,7.50,18.90,18.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-07T00:00:00.000000,3212-1004,084-355815587-3,1.40,5.91,15.75,17.72,true,43.50,58.00,Decorative Accessory,Sterling,A Cock Of Doodles Decorative Accessory,,,,,,,,,,,,Rust,1,CHN,S-9068078,,false,,,,,,Rust,,METAL,0,false,,,,,false,,,Modern Farmhouse Country / Cottage,13.94,19.02,17.24,6.20,7.30,17.10,19.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-07T00:00:00.000000,3212-1005,084-355815588-0,1.50,7.48,18.11,10.24,true,43.50,58.00,Decorative Accessory,Sterling,Higgledy Piggledy Decorative Accessory,,,,,,,,,,,,Rust,1,CHN,S-9068078,,false,,,,,,Rust,,METAL,0,false,,,,,false,,,Modern Farmhouse Country / Cottage,11.54,19.41,17.24,6.40,8.90,19.50,11.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-07T00:00:00.000000,3212-1006,084-355815589-7,19.80,8.00,15.00,30.00,true,288.00,384.00,Decorative Accessory,Sterling,Purr View  Decorative Accessory,,,,,,,,,,,,Restoration Grey,1,CHN,S-9068078,,false,,,,,,Restoration Grey,,COMPOSITE,0,false,,,,,false,,,Eclectic Art Deco,15.00,36.00,21.00,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-07T00:00:00.000000,3212-1007,084-355815590-3,52.90,18.00,56.00,20.00,true,801.00,1068.00,Decorative Accessory,Sterling,You Guan One Decorative Accessory,,,,,,,,,,,,Rust,1,CHN,S-9068078,,false,,,,,,Rust,,COMPOSITE,0,false,,,,,false,,,Southwestern Eclectic,27.00,58.00,25.00,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-07T00:00:00.000000,3212-1008,084-355815591-0,7.70,6.00,21.00,10.00,true,94.50,126.00,Decorative Accessory,Sterling,Grey Eminence Decorative Accessory,,,,,,,,,,,,Restoration Grey,1,CHN,S-9068078,,false,,,,,,Restoration Grey,,COMPOSITE,0,false,,,,,false,,,,13.31,24.92,19.61,19.80,9.80,25.10,13.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
